PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=773 ms
64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=770 ms
64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=780 ms
64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=751 ms
64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=723 ms
64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=704 ms
64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=675 ms
64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=647 ms
64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=615 ms
64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=592 ms
64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=637 ms
64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=641 ms
64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=665 ms
64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=659 ms
64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=656 ms
64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=659 ms
64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=657 ms
64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=670 ms
64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=683 ms
64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=697 ms
64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=693 ms
64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=707 ms
64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=719 ms
64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=717 ms
64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=729 ms
64 bytes from 10.0.0.2: icmp_seq=146 ttl=64 time=743 ms
64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=736 ms
64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=732 ms
64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=736 ms
64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=746 ms
64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=751 ms
64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=746 ms
64 bytes from 10.0.0.2: icmp_seq=153 ttl=64 time=777 ms
64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=788 ms
64 bytes from 10.0.0.2: icmp_seq=155 ttl=64 time=785 ms
64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=782 ms
64 bytes from 10.0.0.2: icmp_seq=157 ttl=64 time=781 ms
64 bytes from 10.0.0.2: icmp_seq=158 ttl=64 time=810 ms
64 bytes from 10.0.0.2: icmp_seq=159 ttl=64 time=805 ms
64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=802 ms
64 bytes from 10.0.0.2: icmp_seq=161 ttl=64 time=800 ms
64 bytes from 10.0.0.2: icmp_seq=162 ttl=64 time=792 ms
64 bytes from 10.0.0.2: icmp_seq=163 ttl=64 time=807 ms
64 bytes from 10.0.0.2: icmp_seq=164 ttl=64 time=819 ms
64 bytes from 10.0.0.2: icmp_seq=165 ttl=64 time=816 ms
64 bytes from 10.0.0.2: icmp_seq=166 ttl=64 time=826 ms
64 bytes from 10.0.0.2: icmp_seq=167 ttl=64 time=818 ms
64 bytes from 10.0.0.2: icmp_seq=168 ttl=64 time=814 ms
64 bytes from 10.0.0.2: icmp_seq=169 ttl=64 time=810 ms
64 bytes from 10.0.0.2: icmp_seq=170 ttl=64 time=823 ms
64 bytes from 10.0.0.2: icmp_seq=171 ttl=64 time=816 ms
64 bytes from 10.0.0.2: icmp_seq=172 ttl=64 time=811 ms
64 bytes from 10.0.0.2: icmp_seq=173 ttl=64 time=821 ms
64 bytes from 10.0.0.2: icmp_seq=174 ttl=64 time=811 ms
64 bytes from 10.0.0.2: icmp_seq=175 ttl=64 time=816 ms
64 bytes from 10.0.0.2: icmp_seq=176 ttl=64 time=846 ms
64 bytes from 10.0.0.2: icmp_seq=177 ttl=64 time=860 ms
64 bytes from 10.0.0.2: icmp_seq=178 ttl=64 time=850 ms
64 bytes from 10.0.0.2: icmp_seq=179 ttl=64 time=846 ms
64 bytes from 10.0.0.2: icmp_seq=180 ttl=64 time=859 ms
64 bytes from 10.0.0.2: icmp_seq=181 ttl=64 time=841 ms
64 bytes from 10.0.0.2: icmp_seq=182 ttl=64 time=850 ms
64 bytes from 10.0.0.2: icmp_seq=183 ttl=64 time=863 ms
64 bytes from 10.0.0.2: icmp_seq=184 ttl=64 time=862 ms
64 bytes from 10.0.0.2: icmp_seq=185 ttl=64 time=890 ms
64 bytes from 10.0.0.2: icmp_seq=186 ttl=64 time=887 ms
64 bytes from 10.0.0.2: icmp_seq=187 ttl=64 time=883 ms
64 bytes from 10.0.0.2: icmp_seq=188 ttl=64 time=880 ms
64 bytes from 10.0.0.2: icmp_seq=189 ttl=64 time=877 ms
64 bytes from 10.0.0.2: icmp_seq=190 ttl=64 time=891 ms
64 bytes from 10.0.0.2: icmp_seq=191 ttl=64 time=889 ms
64 bytes from 10.0.0.2: icmp_seq=192 ttl=64 time=917 ms
64 bytes from 10.0.0.2: icmp_seq=193 ttl=64 time=914 ms
64 bytes from 10.0.0.2: icmp_seq=194 ttl=64 time=927 ms
64 bytes from 10.0.0.2: icmp_seq=195 ttl=64 time=940 ms
64 bytes from 10.0.0.2: icmp_seq=196 ttl=64 time=937 ms
64 bytes from 10.0.0.2: icmp_seq=197 ttl=64 time=934 ms
64 bytes from 10.0.0.2: icmp_seq=198 ttl=64 time=946 ms
64 bytes from 10.0.0.2: icmp_seq=199 ttl=64 time=943 ms
64 bytes from 10.0.0.2: icmp_seq=200 ttl=64 time=972 ms
64 bytes from 10.0.0.2: icmp_seq=201 ttl=64 time=927 ms
64 bytes from 10.0.0.2: icmp_seq=202 ttl=64 time=891 ms
64 bytes from 10.0.0.2: icmp_seq=203 ttl=64 time=897 ms
64 bytes from 10.0.0.2: icmp_seq=204 ttl=64 time=894 ms
64 bytes from 10.0.0.2: icmp_seq=205 ttl=64 time=907 ms
64 bytes from 10.0.0.2: icmp_seq=206 ttl=64 time=937 ms
64 bytes from 10.0.0.2: icmp_seq=207 ttl=64 time=934 ms
64 bytes from 10.0.0.2: icmp_seq=208 ttl=64 time=947 ms
64 bytes from 10.0.0.2: icmp_seq=209 ttl=64 time=944 ms
64 bytes from 10.0.0.2: icmp_seq=210 ttl=64 time=858 ms
64 bytes from 10.0.0.2: icmp_seq=211 ttl=64 time=872 ms
64 bytes from 10.0.0.2: icmp_seq=212 ttl=64 time=883 ms
64 bytes from 10.0.0.2: icmp_seq=213 ttl=64 time=880 ms
64 bytes from 10.0.0.2: icmp_seq=214 ttl=64 time=893 ms
64 bytes from 10.0.0.2: icmp_seq=215 ttl=64 time=915 ms
64 bytes from 10.0.0.2: icmp_seq=216 ttl=64 time=927 ms
64 bytes from 10.0.0.2: icmp_seq=217 ttl=64 time=958 ms
64 bytes from 10.0.0.2: icmp_seq=218 ttl=64 time=970 ms
64 bytes from 10.0.0.2: icmp_seq=219 ttl=64 time=1056 ms
64 bytes from 10.0.0.2: icmp_seq=220 ttl=64 time=1069 ms
64 bytes from 10.0.0.2: icmp_seq=221 ttl=64 time=1083 ms
64 bytes from 10.0.0.2: icmp_seq=222 ttl=64 time=1096 ms
64 bytes from 10.0.0.2: icmp_seq=223 ttl=64 time=1124 ms
64 bytes from 10.0.0.2: icmp_seq=224 ttl=64 time=1129 ms
64 bytes from 10.0.0.2: icmp_seq=225 ttl=64 time=1158 ms
64 bytes from 10.0.0.2: icmp_seq=226 ttl=64 time=1175 ms
64 bytes from 10.0.0.2: icmp_seq=227 ttl=64 time=1184 ms
64 bytes from 10.0.0.2: icmp_seq=228 ttl=64 time=1197 ms
64 bytes from 10.0.0.2: icmp_seq=229 ttl=64 time=1235 ms
64 bytes from 10.0.0.2: icmp_seq=230 ttl=64 time=1263 ms
64 bytes from 10.0.0.2: icmp_seq=231 ttl=64 time=1293 ms
64 bytes from 10.0.0.2: icmp_seq=232 ttl=64 time=1306 ms
64 bytes from 10.0.0.2: icmp_seq=233 ttl=64 time=1331 ms
64 bytes from 10.0.0.2: icmp_seq=234 ttl=64 time=1368 ms
64 bytes from 10.0.0.2: icmp_seq=235 ttl=64 time=1381 ms
64 bytes from 10.0.0.2: icmp_seq=236 ttl=64 time=1425 ms
64 bytes from 10.0.0.2: icmp_seq=237 ttl=64 time=1437 ms
64 bytes from 10.0.0.2: icmp_seq=239 ttl=64 time=1446 ms
64 bytes from 10.0.0.2: icmp_seq=241 ttl=64 time=1456 ms
64 bytes from 10.0.0.2: icmp_seq=245 ttl=64 time=1490 ms
64 bytes from 10.0.0.2: icmp_seq=250 ttl=64 time=1536 ms
64 bytes from 10.0.0.2: icmp_seq=276 ttl=64 time=829 ms
64 bytes from 10.0.0.2: icmp_seq=277 ttl=64 time=793 ms
64 bytes from 10.0.0.2: icmp_seq=278 ttl=64 time=782 ms
64 bytes from 10.0.0.2: icmp_seq=279 ttl=64 time=750 ms
64 bytes from 10.0.0.2: icmp_seq=280 ttl=64 time=722 ms
64 bytes from 10.0.0.2: icmp_seq=281 ttl=64 time=691 ms
64 bytes from 10.0.0.2: icmp_seq=282 ttl=64 time=707 ms
64 bytes from 10.0.0.2: icmp_seq=283 ttl=64 time=770 ms
64 bytes from 10.0.0.2: icmp_seq=286 ttl=64 time=777 ms
64 bytes from 10.0.0.2: icmp_seq=287 ttl=64 time=774 ms
64 bytes from 10.0.0.2: icmp_seq=288 ttl=64 time=773 ms
64 bytes from 10.0.0.2: icmp_seq=289 ttl=64 time=785 ms
64 bytes from 10.0.0.2: icmp_seq=293 ttl=64 time=800 ms
64 bytes from 10.0.0.2: icmp_seq=294 ttl=64 time=795 ms
64 bytes from 10.0.0.2: icmp_seq=295 ttl=64 time=801 ms
64 bytes from 10.0.0.2: icmp_seq=296 ttl=64 time=798 ms
64 bytes from 10.0.0.2: icmp_seq=297 ttl=64 time=795 ms
64 bytes from 10.0.0.2: icmp_seq=298 ttl=64 time=800 ms
64 bytes from 10.0.0.2: icmp_seq=300 ttl=64 time=779 ms
