1492407394.333009,0
1492407394.436968,5
1492407394.540553,10
1492407394.643372,19
1492407394.746655,36
1492407394.852191,39
1492407394.956457,40
1492407395.060126,41
1492407395.163879,41
1492407395.268516,42
1492407395.373223,42
1492407395.477410,43
1492407395.582145,43
1492407395.694796,44
1492407395.798815,44
1492407395.902634,45
1492407396.008540,45
1492407396.114981,45
1492407396.218511,46
1492407396.321707,46
1492407396.425904,48
1492407396.529558,49
1492407396.633345,51
1492407396.736726,52
1492407396.841215,54
1492407396.947265,55
1492407397.051360,57
1492407397.154602,57
1492407397.261118,58
1492407397.366929,58
1492407397.471217,58
1492407397.575581,59
1492407397.679685,60
1492407397.783132,61
1492407397.887324,61
1492407397.991076,62
1492407398.094993,62
1492407398.198499,63
1492407398.302875,63
1492407398.406181,64
1492407398.510159,64
1492407398.619991,65
1492407398.727179,65
1492407398.834216,65
1492407398.939334,66
1492407399.042359,67
1492407399.147265,67
1492407399.252926,68
1492407399.356426,68
1492407399.460841,68
1492407399.564456,69
1492407399.672444,70
1492407399.776865,71
1492407399.881032,72
1492407399.984296,72
1492407400.087965,72
1492407400.191508,74
1492407400.297806,75
1492407400.401723,76
1492407400.505040,77
1492407400.609278,78
1492407400.712930,79
1492407400.816621,80
1492407400.922811,81
1492407401.025876,83
1492407401.130015,85
1492407401.234223,86
1492407401.337568,89
1492407401.441776,90
1492407401.550127,92
1492407401.653689,94
1492407401.757285,95
1492407401.861228,97
1492407401.965121,100
1492407402.069573,99
1492407402.174167,100
1492407402.278824,100
1492407402.383063,100
1492407402.486709,100
1492407402.591858,100
1492407402.695939,100
1492407402.800058,100
1492407402.904148,100
1492407403.008111,100
1492407403.112235,99
1492407403.217346,99
1492407403.321251,100
1492407403.425385,100
1492407403.529143,100
1492407403.633053,100
1492407403.737168,100
1492407403.841147,100
1492407403.946658,99
1492407404.051359,100
1492407404.154525,100
1492407404.259881,100
1492407404.363852,100
1492407404.467857,100
1492407404.571844,100
1492407404.675002,100
1492407404.778378,100
1492407404.882529,100
1492407404.986753,100
1492407405.090763,100
1492407405.193769,100
1492407405.297643,100
1492407405.401460,100
1492407405.504906,100
1492407405.609072,100
1492407405.713128,100
1492407405.816984,100
1492407405.921090,97
1492407406.025301,95
1492407406.130777,92
1492407406.235105,91
1492407406.339292,89
1492407406.444226,86
1492407406.548253,94
1492407406.651643,100
1492407406.755651,100
1492407406.859277,100
1492407406.966725,99
1492407407.072935,99
1492407407.177714,99
1492407407.281432,99
1492407407.384804,100
1492407407.487951,100
1492407407.591446,100
1492407407.695578,100
1492407407.799142,99
1492407407.902507,99
1492407408.007163,99
1492407408.111704,99
1492407408.215362,100
1492407408.318676,100
1492407408.424165,100
1492407408.528527,100
1492407408.632152,100
1492407408.737163,100
1492407408.842489,100
1492407408.946575,100
1492407409.050505,100
1492407409.157044,98
1492407409.261390,93
1492407409.365722,91
1492407409.470341,87
1492407409.575761,83
1492407409.679606,78
1492407409.783619,82
1492407409.888602,85
1492407409.992963,87
1492407410.096584,86
1492407410.200585,86
1492407410.304153,86
1492407410.407781,86
1492407410.511064,81
1492407410.614676,76
1492407410.722697,72
1492407410.826614,66
1492407410.931414,60
1492407411.035377,54
1492407411.139167,51
1492407411.243098,52
1492407411.349377,52
1492407411.453217,52
1492407411.556962,52
1492407411.660187,52
1492407411.763449,53
1492407411.867150,52
1492407411.972157,53
1492407412.075021,55
1492407412.179118,56
1492407412.282567,55
1492407412.387806,56
1492407412.492616,57
1492407412.596469,57
1492407412.699761,57
1492407412.803402,57
1492407412.909277,57
1492407413.014087,57
1492407413.117870,57
1492407413.222122,58
1492407413.325813,58
1492407413.430579,58
1492407413.535086,58
1492407413.643401,58
1492407413.747189,58
1492407413.850881,58
